state,action
"[np.int32(3), np.int32(2)]","4"
"[np.int32(3), np.int32(2)]","4"
"[np.int32(3), np.int32(2)]","1"
"[np.int32(4), np.int32(2)]","1"
"[np.int32(5), np.int32(2)]","2"
"[np.int32(5), np.int32(1)]","4"
"[np.int32(5), np.int32(1)]","4"
"[np.int32(5), np.int32(1)]","4"
"[np.int32(5), np.int32(1)]","0"
"[np.int32(4), np.int32(1)]","3"
"[np.int32(4), np.int32(2)]","4"
"[np.int32(4), np.int32(2)]","1"
"[np.int32(5), np.int32(2)]","4"
"[np.int32(5), np.int32(2)]","0"
"[np.int32(4), np.int32(2)]","1"
"[np.int32(5), np.int32(2)]","3"
"[np.int32(5), np.int32(3)]","1"
"[np.int32(6), np.int32(3)]","0"
"[np.int32(5), np.int32(3)]","1"
"[np.int32(6), np.int32(3)]","4"
"[np.int32(6), np.int32(3)]","3"
"[np.int32(6), np.int32(4)]","0"
"[np.int32(5), np.int32(4)]","3"
"[np.int32(5), np.int32(4)]","1"
"[np.int32(6), np.int32(4)]","0"
"[np.int32(5), np.int32(4)]","3"
"[np.int32(2), np.int32(2)]","0"
"[np.int32(1), np.int32(2)]","4"
"[np.int32(1), np.int32(2)]","4"
"[np.int32(1), np.int32(2)]","4"
"[np.int32(1), np.int32(2)]","4"
"[np.int32(1), np.int32(2)]","4"
"[np.int32(1), np.int32(2)]","4"
"[np.int32(1), np.int32(2)]","4"
"[np.int32(1), np.int32(2)]","4"
"[np.int32(1), np.int32(2)]","4"
"[np.int32(1), np.int32(2)]","4"
"[np.int32(1), np.int32(2)]","4"
"[np.int32(1), np.int32(2)]","4"
"[np.int32(1), np.int32(2)]","4"
"[np.int32(1), np.int32(2)]","4"
"[np.int32(1), np.int32(2)]","4"
"[np.int32(1), np.int32(2)]","4"
"[np.int32(1), np.int32(2)]","0"
"[0, np.int32(2)]","4"
"[0, np.int32(2)]","2"
"[0, np.int32(1)]","3"
"[0, np.int32(2)]","4"
"[0, np.int32(2)]","4"
"[0, np.int32(2)]","4"
"[0, np.int32(2)]","3"
"[0, np.int32(3)]","0"
"[0, np.int32(3)]","0"
"[0, np.int32(3)]","0"
"[0, np.int32(3)]","0"
"[0, np.int32(3)]","0"
